gvkey,date,asset_value,asset_volatility
14140,2010-01-29,1165903808448.1025,0.024331040823670328
14140,2010-02-26,1159642038391.6619,0.029916446427170028
14140,2010-03-31,1162119454957.2786,0.02631817286855158
14140,2010-04-30,1159724130259.2473,0.026353051099642345
14140,2010-05-31,1148951865662.4517,0.03564794060386181
14140,2010-06-30,1152548881185.2473,0.03517931917772199
14140,2010-07-30,1162990080829.8132,0.033971455173167964
14140,2010-08-31,1157025308613.0295,0.03239980850772393
14140,2010-09-30,1157673453179.3655,0.031025630992574754
14140,2010-10-29,1157092536426.5361,0.02975342199891451
14140,2010-11-30,1141563772240.5947,0.02916062601230519
14140,2010-12-31,1146960810440.4275,0.028604024678340213
14140,2011-01-31,1185180803200.4673,0.039750682228441386
14140,2011-02-28,1186213200113.2954,0.038707228300955784
14140,2011-03-31,1179609259202.7969,0.03859646622809783
14140,2011-04-29,1183535248923.05,0.037955582721944076
14140,2011-05-31,1180832428600.9758,0.033955605320529346
14140,2011-06-30,1178284050502.3154,0.033053551295174795
14140,2011-07-29,1172694611554.9944,0.032702773556251154
14140,2011-08-31,1164517086747.7058,0.03290374021921592
14140,2011-09-30,1162598132672.0718,0.03349406753974513
14140,2011-10-31,1163286360868.8206,0.03373816912507957
14140,2011-11-30,1157597981665.8564,0.03321754657353077
14140,2011-12-30,1160222519356.161,0.033043844955455
14140,2012-01-31,1181453766366.5344,0.02288773242299348
14140,2012-02-29,1183868023408.3813,0.02266805624482023
14140,2012-03-30,1179642213689.8157,0.02263962195077063
14140,2012-04-30,1171614978109.4907,0.02282937004145344
14140,2012-05-31,1166906355087.5696,0.023000237633668336
14140,2012-06-29,1176412140175.103,0.022993804530857694
14140,2012-07-31,1176292271141.787,0.023117408952871097
14140,2012-08-31,1183368910166.6274,0.022977634183749776
14140,2012-09-28,1184736125520.6396,0.022286454074584013
14140,2012-10-31,1187417166498.9097,0.021921347799737454
14140,2012-11-30,1188467459257.637,0.021777664531592297
14140,2012-12-31,1190451477559.993,0.016125369973195927
14140,2013-01-31,1014565168989.3644,0.12366060020476738
14140,2013-02-28,1007635093644.5905,0.12396274825279781
14140,2013-03-29,997154476251.9941,0.12416590423392004
14140,2013-04-30,1004670246811.2998,0.12417313639878806
14140,2013-05-31,1005421866408.602,0.1238349465343126
14140,2013-06-28,993562625999.4489,0.12348684317434645
14140,2013-07-31,1008160521313.3821,0.12292806388524996
14140,2013-08-30,1005167195556.2264,0.12242051729814289
14140,2013-09-30,1017877546463.3372,0.12224338833802074
14140,2013-10-31,1029380322768.1707,0.122268887434158
14140,2013-11-29,1029233559030.7697,0.12214030747072867
14140,2013-12-31,1058957789947.0405,0.015169747498728712
14140,2014-01-31,1158516053999.9885,0.11519506537629874
14140,2014-02-28,1161279223108.3765,0.11481885367575734
14140,2014-03-31,1167628611703.562,0.11467021173936344
14140,2014-04-30,1174608533431.8645,0.11442716084668761
14140,2014-05-30,1180395842646.3074,0.11441131971380954
14140,2014-06-30,1182295679175.9136,0.11420412331476726
14140,2014-07-31,1180864979664.834,0.11427149602989671
14140,2014-08-29,1183887948255.0396,0.11419883581250667
14140,2014-09-30,1184200273089.8691,0.11427340038816004
14140,2014-10-31,1176730763638.0227,0.11443862103533257
14140,2014-11-28,1184010045756.8582,0.11456313535086438
14140,2014-12-31,1207239981211.9824,0.0156996066074243
14140,2015-01-30,1261685934729.901,0.053380420682279474
14140,2015-02-27,1270199926205.9324,0.053501709316685596
14140,2015-03-31,1277547149286.398,0.05354623670164601
14140,2015-04-30,1275787038242.7073,0.05364499132474179
14140,2015-05-29,1271207304914.7249,0.05374061844601818
14140,2015-06-30,1267649325232.4558,0.05423871093757444
14140,2015-07-31,1267934633663.2046,0.05436502337259316
14140,2015-08-31,1254550130155.5232,0.054858205133861006
14140,2015-09-30,1242387779879.8408,0.0551367107944702
14140,2015-10-30,1249328698904.3347,0.05503868565135065
14140,2015-11-30,1250362628255.8862,0.05500324742136849
14140,2015-12-31,1246679561658.2974,0.022426862106054282
14140,2016-01-29,1232861914345.142,0.0195255689810609
14140,2016-02-29,1230167237911.1494,0.020644888437911506
14140,2016-03-31,1231930441900.8464,0.020809046982001263
14140,2016-04-29,1239885276299.994,0.021247389574394638
14140,2016-05-31,1237991829486.7742,0.02137548748908218
14140,2016-06-30,1225194565084.5671,0.023073533003115553
14140,2016-07-29,1230643935576.8015,0.022847634398625465
14140,2016-08-31,1234011884954.0852,0.022072114520523635
14140,2016-09-30,1232957538912.885,0.02174979563387896
14140,2016-10-31,1241442462089.1226,0.021409867560977153
14140,2016-11-30,1238958657585.044,0.021221680619500263
14140,2016-12-30,1248421147247.1646,0.021055022958293746
14140,2017-01-31,1329225933566.9268,0.0777914608181992
14140,2017-02-28,1329899252465.3328,0.07680705012715458
14140,2017-03-31,1341513044815.7383,0.07662225955114134
14140,2017-04-28,1346177594425.771,0.07642360817058992
14140,2017-05-31,1342404748278.8872,0.07624176055373381
14140,2017-06-30,1343564887855.7632,0.0744121745903915
14140,2017-07-31,1353816756343.5735,0.0744594029400377
14140,2017-08-31,1347511738901.2146,0.07443674540470513
14140,2017-09-29,1356499465347.3,0.07434578096826767
14140,2017-10-31,1355597354080.61,0.07446830264670859
14140,2017-11-30,1351913414367.7917,0.07439529426340434
14140,2017-12-29,1348666179669.6675,0.07426159463220428
14140,2018-01-31,1382519038806.8848,0.017893966153704366
14140,2018-02-28,1377419765208.272,0.018021028511313906
14140,2018-03-30,1371416487333.788,0.01797337746138641
14140,2018-04-30,1372675449757.1987,0.017747381540122228
14140,2018-05-31,1360197494347.0876,0.017849094303047253
14140,2018-06-29,1360068828879.1145,0.0177055170809359
14140,2018-07-31,1363743658393.261,0.016596321285322527
14140,2018-08-31,1355164412669.3765,0.016370012581628367
14140,2018-09-28,1355931949503.0032,0.01614445053420855
14140,2018-10-31,1353664931886.8503,0.015627191262565364
14140,2018-11-30,1353923882329.9497,0.015658724704726554
14140,2018-12-31,1350484342092.594,0.012352961474951267
14140,2019-01-31,1405964873816.679,0.04270902101886392
14140,2019-02-28,1409074406990.6882,0.042591506382680736
14140,2019-03-29,1406223723105.2288,0.042712789780894794
14140,2019-04-30,1413024740481.4214,0.04263909188407648
14140,2019-05-31,1402678613048.4734,0.042379178745760866
14140,2019-06-28,1405156289586.8347,0.0422774496066434
14140,2019-07-31,1400981543544.99,0.04235672596104097
14140,2019-08-30,1392639619774.937,0.042420908173956356
14140,2019-09-30,1400205993274.8481,0.0424998074909521
14140,2019-10-31,1397264911167.9136,0.042745698785371634
14140,2019-11-29,1396125915610.644,0.04272552024883107
14140,2019-12-31,1405155625960.449,0.011389489381563233
14140,2020-01-31,1406883775255.623,0.011871462055922022
14140,2020-02-28,1403109962303.888,0.012167027738146057
14140,2020-03-31,635390003547.2158,0.1146307653414198
14140,2020-04-30,227776722510.37375,0.21743399349502723
14140,2020-05-29,634876114076.3514,0.12486556787513306
